name,square_meter,bedroom_no,price,street,area,district
"Cho thuê CH Chelsea Park Trung Kính, 130m2, 3PN đủ đồ đẹp, giá 15tr/tháng.LH: 0972.699.780", 130 m,3 phòng ngủ, 15 triệu / tháng,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy
"Cho thuê CHCC Pico 173 Xuân Thủy, 3PN, full, 12tr/th, vào luôn. LH: 0972.699.780", 110 m,3 phòng ngủ, 12 triệu / tháng,Đường Xuân Thủy,Phường Dịch Vọng Hậu,Quận Cầu Giấy
"XEM NHÀ 24/7-CHO THUÊ THỐNG NHẤT COMPLEX,90M2,3 NGỦ FULL,GIÁ CHỈ 14TR/TH,LH: 0972.699.780", 90 m,3 phòng ngủ, 14 triệu / tháng,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Cho thuê chung cư 24T2 Hoàng Đạo Thúy, 130m2, 2PN, 2VS, đủ đồ, 12 tr/th. LH 0972.699.780", 130 m,2 phòng ngủ, 12 triệu / tháng,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy
"Xem nhà 24/7- Cho thuê chung cư Hà Nội Center Point 70m2, 2PN, full đồ đẹp 14 tr/tháng", 70 m,2 phòng ngủ, 14 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
"Xem nhà 24/24H - Cho thuê chung cư Golden Palace 2PN, full đồ đẹp 17tr/th, 0972.699.780", 90 m,2 phòng ngủ, 17 triệu / tháng,Đường Mễ Trì,Phường Mễ Trì,Quận Nam Từ Liêm
"Cho thuê căn hộ Green Park Dương Đình Nghệ, 105m2, 3PN, đủ đồ, 14tr/th. LH : 0972.699.780", 105 m,3 phòng ngủ, 14 triệu / tháng,Phố Dương Đình Nghệ,Phường Yên Hòa,Quận Cầu Giấy
"Xem nhà 24/7 -Cho thuê chung cư Mỹ Đình Sông Đà , 3 PN, đầy đủ nội thất 13tr/th,", 120 m,3 phòng ngủ, 13 triệu / tháng,Đường Trần Văn Lai,Phường Mỹ Đình 1,Quận Nam Từ Liêm
"Xem nhà 24/7-Cho thuê chung cư Homecity, 177 Trung Kính, 2ngủ, đủ đồ giá 13tr/th", 70 m,2 phòng ngủ, 13 triệu / tháng,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy
"Xem nhà 24/7- Cho thuê căn hộ CC đủ đồ Five Star Kim Giang 2PN, full đồ, 11 tr/tháng", 89 m,2 phòng ngủ, 11 triệu / tháng,Đường Kim Giang,Phường Kim Giang,Quận Thanh Xuân
"Xem nhà 24/7- cho thuê CH Golden Land 2Pn, DT 65m2, full nội thất. Giá 10tr\th.", 65 m,2 phòng ngủ, 10 triệu / tháng,Đường Nguyễn Trãi,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Quản lý cho thuê tất cả căn hộ Sudico Mỹ Đình Sông Đà, 2-3-4PN, cơ bản - Full đồ,từ 9tr/t", 60 m,2 phòng ngủ, 10 triệu / tháng,Đường Phạm Hùng,Phường Mỹ Đình 1,Quận Nam Từ Liêm
"Cho thuê chung cư EcoLife Tố Hữu 111m, 3 ngủ đủ đồ nội thất cao cấp giá siêu rẻ,13tr/th.", 111 m,3 phòng ngủ, 13 triệu / tháng,Đường Tố Hữu,Phường Mễ Trì,Quận Nam Từ Liêm
"Cho thuê chung cư FLC Complex 36 Phạm Hùng 70m2, 2 PN, full đồ đẹp 12 triệu/th,", 70 m,2 phòng ngủ, 12 triệu / tháng,Đường Phạm Hùng,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư The Garden Hill, 99 trần bình nhà mới 100%, 2PN, 3PN,giá tốt nhất", 70 m,2 phòng ngủ, 9 triệu / tháng,Đường Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm
BQL dự án cho thuê Dolphin Plaza: 133-152-164-171-181-198m2: Cơ bản-đủ đồ từ 13tr/th, 133 m,2 phòng ngủ, 13 triệu / tháng,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"BQL dự án cho thuê căn hộ Sky Park Residence số 3 Tôn Thất Thuyết, 71m2 - 128m2 giá tốt,", 75 m,2 phòng ngủ, 13 triệu / tháng,Đường Tôn Thất Thuyết,Phường Dịch Vọng Hậu,Quận Cầu Giấy
"Xem nhà 24/7 - Cho thuê căn hộ Mỹ Đình Plaza 2, 2-3PN, full đồ, cơ bản giá từ 9 tr/th,", 80 m,2 phòng ngủ, 9 triệu / tháng,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Quản lý Cho thuê CHCC Eco Green City, 2PN, full nội thất, gía 10tr/tháng,LH: 0972.699.780", 75 m,2 phòng ngủ, 10 triệu / tháng,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì
"Quản lý Cho thuê chung cư N09B1 Dịch Vọng 126m2, 3 PN, full đồ, cơ bản 12 triệu/th", 126 m,3 phòng ngủ, 12 triệu / tháng,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy
"Xem nhà 24/7 - cho thuê chung cư Trung Yên Plaza 95m2, 2PN, đồ cơ bản 12 tr/th", 95 m,2 phòng ngủ, 12 triệu / tháng,Đường Trung Hòa,Phường Trung Hòa,Quận Cầu Giấy
"Cho thuê gấp căn hộ chung cư Sun Square,Lê Đức Thọ 3PN đồ cơ bản 12 tr/th. Lh 0972 699 780", 100 m,3 phòng ngủ, 12 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Xem nhà 24/24 - cho thuê chung cư Mỹ Đình Pearl 80m2, 2PN, đồ cơ bản, 12 tr/th", 80 m,2 phòng ngủ, 12 triệu / tháng,Đường Châu Văn Liêm,Phường Phú Đô,Quận Nam Từ Liêm
"Cho thuê gấp CH Riverside 349 Vũ Tông Phan, 3PN, đủ đồ đẹp giá 13 tr/th. LH: 0972.699.780", 90 m,3 phòng ngủ, 13 triệu / tháng,Phố Vũ Tông Phan,Phường Khương Đình,Quận Thanh Xuân
"Cho thuê chung cư 71 Nguyễn Chí Thanh, 2 phòng ngủ, full đồ giá 12 triệu/ tháng,", 80 m,2 phòng ngủ, 12 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"Cho thuê gấp chung cư FLC 265 Cầu Giấy, 3 phòng ngủ, đồ cơ bản, giá chỉ 15 tr/th", 120 m,3 phòng ngủ, 15 triệu / tháng,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy
"Cho thuê gấp chung cư Vimeco Nguyễn Chánh, 2 phòng ngủ đủ đồ, giá chỉ 11.5 tr/th,", 94 m,2 phòng ngủ, 12 triệu / tháng,Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy
"Xem nhà 24/7- Cho thuê chung cư CC Rivera Park 69 Vũ Trọng Phụng 2PN,full đồ, 14tr/th", 80 m,2 phòng ngủ, 14 triệu / tháng,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân
(Xem nhà 24/7) BQL cho thuê Imperia Garden chỉ từ 9 tr/tháng rẻ nhất thị trường., 70 m,2 phòng ngủ, 9 triệu / tháng,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Ban Quản lý cho thuê chung cư Mỹ Đình Pearl 1-2-3-4 PN, full đồ - cơ bản, giá chỉ từ 7 tr", 55 m,1 phòng ngủ, 7 triệu / tháng,Đường Châu Văn Liêm,Phường Phú Đô,Quận Nam Từ Liêm
"Cho thuê căn hộ chung cư 11 tr/th, 110m2, 3PN, Eco Green City nội thất cơ bản.0972.699.780", 110 m,3 phòng ngủ, 11 triệu / tháng,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì
"Chính chủ cho thuê căn hộ Golden West 2PN, 3PN giá từ 8 tr - 13 tr/tháng. LH: 0972.699.780", 70 m,2 phòng ngủ, 8 triệu / tháng,Đường Lê Văn Thiêm,Phường Nhân Chính,Quận Thanh Xuân
"Ban quản lý cho thuê FLC Twin Towers 265 Cầu Giấy, 2 -3 PN, cơ bản, full đồ, giá rẻ nhất", 95 m,2 phòng ngủ, 11 triệu / tháng,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy
"Cho thuê căn hộ Golden Feild, 80m2, 2 đến 3 PN, giá từ 9 triệu/th, LH 0972.699.780", 70 m,2 phòng ngủ, 9 triệu / tháng,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Ban quản lý dự án cho thuê các căn hộ CC Mulbery Lane giá từ 8 -15 triệu/th.0972.699.780, 50 m,1 phòng ngủ, 8 triệu / tháng,Đường Mỗ Lao,Phường Mộ Lao,Quận Hà Đông
"Quản lý  cho thuê CHCC Seasons Avenue, Mỗ Lao,dt 70-110m2, giá  từ 9-16tr/th. 0972.699.780", 70 m,2 phòng ngủ, 8 triệu / tháng,Đường Mỗ Lao,Phường Mộ Lao,Quận Hà Đông
"Chuyên cho thuê các căn hộ 42 - 115m2 CCCC Vinhomes Green Bay, giá chỉ từ 8tr/th.", 55 m,2 phòng ngủ, 8 triệu / tháng,Đường Đại Lộ Thăng Long,Phường Mễ Trì,Quận Nam Từ Liêm
"BQL cho thuê căn hộ chung cư Mỹ Đình Pearl, 1 phòng ngủ, đủ đồ đẹp, 9 tr/th.", 55 m,1 phòng ngủ, 9 triệu / tháng,Đường Châu Văn Liêm,Phường Phú Đô,Quận Nam Từ Liêm
"LH: 0962.133.986 để thuê ngay Biệt thự Nguyễn Cơ Thạch -  Mỹ Đình,  170m2, giá 60 triệu", 170 m,6 phòng ngủ, 60 triệu / tháng,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê căn hộ Artex Building 172 Ngọc Khánh, 3pn, giá chỉ 15 tr/tháng", 151 m,3 phòng ngủ, 15 triệu / tháng,Phố Ngọc Khánh,Phường Giảng Võ,Quận Ba Đình
Cho thuê CHDV 40m2 giá chỉ 10tr . Rất đẹp và yên tĩnh., 40 m,1 phòng ngủ, 10 triệu / tháng,Phố Vạn Bảo,Phường Liễu Giai,Quận Ba Đình
"Cho thuê căn hộ Chung cư Mipec – Ngã Tư Sở 70m2,giá chỉ 12tr", 70 m,2 phòng ngủ, 12 triệu / tháng,Đường Tây Sơn 2,Phường Ngã Tư Sở,Quận Đống Đa
"Cho thuê CHDV Ling Lang tại Đào Tấn- Ba Đình cạnh Lotte center, 65m2 giá chỉ 8tr", 65 m,1 phòng ngủ, 8 triệu / tháng,Đường Đào Tấn,Phường Liễu Giai,Quận Ba Đình
"Cho thuê CHDV 45m2 tại Liễu Giai- Ba Đình 45m2, giá chỉ 10tr", 45 m,1 phòng ngủ, 10 triệu / tháng,Phố Vạn Phúc,Phường Liễu Giai,Quận Ba Đình
"Chính chủ cho thuê căn hộ C7 Giảng Võ, DT: 80m2, 3PN, chỉ 15tr/tháng, full đồ", 80 m,3 phòng ngủ, 15 triệu / tháng,Phố Trần Huy Liệu,Phường Giảng Võ,Quận Ba Đình
"Cho thuê gấp Chung cư Mipec – Ngã Tư Sở, rộng 95m2, 2PN, Chỉ 14TR, Đủ đồ đẹp", 95 m,2 phòng ngủ, 14 triệu / tháng,Đường Tây Sơn 2,Phường Ngã Tư Sở,Quận Đống Đa
"Cho thuê Căn hộ The Lancaster – 20 Núi Trúc, S: 90m2, 2 P.ngủ, full đồ , 18tr/tháng", 90 m,2 phòng ngủ, 18 triệu / tháng,Phố Núi Trúc,Phường Giảng Võ,Quận Ba Đình
"Cho thuê căn hộ cao cấp Hoàng Cầu Skyline, 85m2, 2PN, 15 Triệu/tháng full đồ", 85 m,2 phòng ngủ, 15 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
"Cho thuê căn hộ chung cư D2 Giảng Võ, DT: 86m2, giá 15tr/th, 2PN, sang trọng, full đồ đẹp", 86 m,2 phòng ngủ, 15 triệu / tháng,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình
"Cho thuê căn hộ cao cấp 165 Thái Hà - Sông Hồng Park, 3 phòng ngủ. Giá 16tr/tháng.", 120 m,3 phòng ngủ, 16 triệu / tháng,Phố Thái Hà,Phường Láng Hạ,Quận Đống Đa
Cho thuê CHDV Ling Lang tại Đào Tấn- Ba Đình giá chỉ 450$ full đồ. LH : 0372004956, 45 m,1 phòng ngủ, 8 triệu / tháng,Đường Đào Tấn,Phường Liễu Giai,Quận Ba Đình
"HOT! Cho thuê CHDV ngõ 35 Cát Linh, Đống Đa, 1PN giá chỉ 9tr, full đồ.", 65 m,1 phòng ngủ, 9 triệu / tháng,Phố Cát Linh,Phường Cát Linh,Quận Đống Đa
"Cho thuê gấp Chung cư Mipec – Ngã Tư Sở, rộng 120m2, 2PN,giá chỉ 15tr", 95 m,2 phòng ngủ, 14 triệu / tháng,Đường Tây Sơn 2,Phường Ngã Tư Sở,Quận Đống Đa
"Căn hộ Star City Lê Văn Lương 85m² 2PN, giá chỉ 16tr/tháng", 85 m,2 phòng ngủ, 16 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
"Cho thuê Căn hộ  Platinum Residencer, DT: 100m2, giá 17tr/th, 2 ngủ.", 100 m,2 phòng ngủ, 17 triệu / tháng,Phố Nguyễn Công Hoan,Phường Ngọc Khánh,Quận Ba Đình
"Cho thuê CHDV 50m2 Vạn Phúc cạnh Liễu Giai, gần Lotte Center, giá chỉ 500$ đã full đồ.", 50 m,1 phòng ngủ," 11,6 triệu / tháng",Phố Liễu Giai,Phường Liễu Giai,Quận Ba Đình
"CC cho thuê căn hộ tại 172 Ngọc Khánh- Tòa nhà Artex Building, căn 3 ngủ và đã đủ đồ", 112 m,3 phòng ngủ, 18 triệu / tháng,Phố Ngọc Khánh,Phường Giảng Võ,Quận Ba Đình
"Căn hộ cho thuê tại D2 Giảng Võ, căn 3 ngủ ĐCB giá chỉ 14 triệu, đang trống vào được ngay", 102 m,3 phòng ngủ, 14 triệu / tháng,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình
"Cho thuê CHDV tại Liễu Giai, cạnh Lotte Center giá chỉ 10tr/th. Căn rất đẹp và yên tĩnh.", 65 m,1 phòng ngủ, 10 triệu / tháng,Phố Liễu Giai,Phường Liễu Giai,Quận Ba Đình
"Cho thuê căn 3 ngủ, đủ đồ, Tòa nhà Vườn Xuân 71 Nguyễn Chí Thanh giá chỉ 15tr/th", 80 m,3 phòng ngủ, 15 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
Cho thuê CHCC 3 phòng ngủ tại Tân Hoàng Minh- d'le pont d'or giá chỉ 18tr/ tháng, 128 m,3 phòng ngủ, 18 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
Cho thuê căn hộ 2 ngủ và đã đủ đồ tại 15-17 Ngọc Khánh giá chỉ 12 triệu vào luôn, 113 m,2 phòng ngủ, 12 triệu / tháng,Phố Ngọc Khánh,Phường Giảng Võ,Quận Ba Đình
"Căn hộ Starcity rộng 83m2, 2 phòng ngủ, đủ đồ chỉ cho người nước ngoài thuê giá chỉ 13tr", 85 m,2 phòng ngủ, 13 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
"Căn hộ cho thuê tại Platinum số 6 Nguyễn Công Hoan, 2 ngủ đã đủ đồ chỉ 18tr/ tháng", 115 m,2 phòng ngủ, 18 triệu / tháng,Phố Nguyễn Công Hoan,Phường Ngọc Khánh,Quận Ba Đình
CC Cho thuê căn 3 ngủ tại 165 Thái Hà diện tích rộng 170m2 chỉ 14tr. LH 0372.004.956, 170 m,3 phòng ngủ, 14 triệu / tháng,Phố Thái Hà,Phường Láng Hạ,Quận Đống Đa
"Cho thuê căn hộ Starcity, 2 ngủ- đủ đồ giá chỉ 14tr/tháng. Căn đang trống có thể ở luôn,", 86 m,2 phòng ngủ, 14 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
Cho thuê căn hộ 3 Ngủ tại 97- 99 Láng Hạ giá chỉ 15tr/thang, 145 m,3 phòng ngủ, 15 triệu / tháng,Đường Láng Hạ,Phường Láng Hạ,Quận Đống Đa
"0372004956.Căn hộ cho thuê tại 165 Thái Hà, căn 3 ngủ diện tích rộng chỉ 15tr/ tháng.", 115 m,3 phòng ngủ, 15 triệu / tháng,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình
"Cho thuê căn hộ 165 Thái Hà- Tòa Sông Hồng Park View, căn 3 ngủ giá chỉ 14tr/th.", 120 m,2 phòng ngủ, 14 triệu / tháng,Phố Thái Hà,Phường Láng Hạ,Quận Đống Đa
"Sống thời thượng đẳng cấp Vinhome Metropolis 2PN full đồ, chỉ 20tr/tháng. LH :0372004956", 80 m,2 phòng ngủ, 20 triệu / tháng,Phố Liễu Giai,Phường Ngọc Khánh,Quận Ba Đình
"Cho thuê CHDV tại 57 Láng Hạ, diện tích rộng 86m2 giá chỉ 13,9tr/tháng. LH 0372004956", 86 m,1 phòng ngủ," 13,9 triệu / tháng",Đường Thành Công,Phường Láng Hạ,Quận Đống Đa
"Cho thuê căn hộ chung cư số 2 Hoàng Cầu- Nhà khách Quốc hội, 85m2, giá chỉ 12tr/tháng", 85 m,2 phòng ngủ, 12 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
"HOT!! Cho thuê căn hộ cao cấp Hòa Bình Green city, S rộng  90m2/ 2 ngủ, đủ đồ.", 90 m,2 phòng ngủ, 14 triệu / tháng,Đường Bưởi,Phường Vĩnh Phúc,Quận Ba Đình
"Cho thuê căn hộ cao cấp D'. LE PONT D'OR, 36 HOÀNG CẦU, 140M2, 3PN, GIÁ 18TRIỆU/TH", 140 m,3 phòng ngủ, 18 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
"Cho thuê CHCC tại Metropolis giá chỉ 18tr/th,  đã đủ đồ", 64 m,1 phòng ngủ, 18 triệu / tháng,Đường Kim Mã,Phường Liễu Giai,Quận Ba Đình
"Cho thuê căn hộ 71 Nguyễn Chí Thanh 2 ngủ,  giá chỉ 14tr/th", 90 m,2 phòng ngủ, 14 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"0372004956. Cho thuê căn hộ tại M5 Nguyễn Chí Thanh, diện tích rộng, 3 PN giá chỉ 18tr/th.", 149 m,3 phòng ngủ, 18 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"Căn hộ cho thuê tại 88 Láng Hạ- Tòa Sky City, 2 phòng ngủ đã đủ đồ giá chỉ 14tr/ tháng.", 112 m,2 phòng ngủ, 14 triệu / tháng,Đường Láng Hạ,Phường Láng Hạ,Quận Đống Đa
Cho thuê căn hộ 3 phòng ngủ tại 57 Láng Hạ diện tích rộng 151m2. Lh: 0372.004.956, 151 m,3 phòng ngủ, 14 triệu / tháng,Phố Láng Hạ,Phường Thành Công,Quận Ba Đình
"Cho thuê căn hộ Sky city tại 88 Láng Hạ, diện tích rộng 150m2, 3 Pngủ giá chỉ 18tr/thg,", 150 m,3 phòng ngủ, 18 triệu / tháng,Đường Láng Hạ,Phường Láng Hạ,Quận Đống Đa
Cho thuê căn hộ chung cư cao cấp D. Le Pont Dor Hoàng Cầu giá chỉ 15tr/th đã đủ đồ, 65 m,1 phòng ngủ, 15 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
"Cần cho thuê căn hộ cao cấp Hoàng Cầu Skyline 94m2, giá 16 tr/th, 2PN", 94 m,2 phòng ngủ, 16 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
"Căn hộ the Lancaster Núi Trúc , S rộng  90M2, gồm 2 phòng ngủ giá chỉ 17tr/tháng vào luôn", 90 m,2 phòng ngủ, 17 triệu / tháng,Phố Núi Trúc,Phường Giảng Võ,Quận Ba Đình
"Cho thuê CHCC Platinum Residences số 6 NCH, căn 2 ngủ cần cho thuê gấp giá chỉ 16 triệu", 123 m,2 phòng ngủ, 16 triệu / tháng,Phố Nguyễn Công Hoan,Phường Ngọc Khánh,Quận Ba Đình
"Cho thuê CHCC B4-B14 Kim Liên diện tích 80m2, căn hộ 2 ngủ đã đủ đồ giá chỉ 13 tr/ tháng", 80 m,2 phòng ngủ, 13 triệu / tháng,Phố Phạm Ngọc Thạch,Phường Kim Liên,Quận Đống Đa
"Căn hộ Mipec Tây Sơn căn 2 ngủ , diện tích 85m2 giá chỉ 10 tr cho thuê gấp.", 85 m,2 phòng ngủ, 10 triệu / tháng,Phố Tây Sơn,Phường Ngã Tư Sở,Quận Đống Đa
Cho thuê căn hộ D2 Giang Võ giá chỉ 14 triệu 2 phòng ngủ đã đủ đồ, 70 m,2 phòng ngủ, 14 triệu / tháng,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình
"Căn hộ 3 ngủ tại Ngọc Khánh Plaza cho thuê giá chỉ 18 triệu, đã đủ đồ, căn trống vào luôn.", 145 m,3 phòng ngủ, 18 triệu / tháng,Phố Phạm Huy Thông,Phường Ngọc Khánh,Quận Ba Đình
"Căn hộ 71 Nguyễn Chí Thanh cho thuê giá chỉ 15 triệu/th, căn 3 ngủ đã đủ đồ", 76 m,3 phòng ngủ, 16 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"CHDV khu vực Linh lang, Đào Tấn, Kim mã .Căn mới đẹp vã đã full nội thất chỉ từ 400$", 50 m,1 phòng ngủ, 10 triệu / tháng,Phố Đội cấn,Phường Liễu Giai,Quận Ba Đình
"Cho thuê CHDV giá chỉ từ 400$ tại Kim mã, gần Lotte center Liễu giai. Căn sạch sẽ vào luôn", 55 m,1 phòng ngủ," 9,2 triệu / tháng",Đường Kim Mã,Phường Kim Mã,Quận Ba Đình
"Chỉ 14 triệu cho thuê căn hộ C7 Giảng Võ, căn 3 phòng ngủ đã full đồ vào ở được luôn", 80 m,3 phòng ngủ, 14 triệu / tháng,Phố Trần Huy Liệu,Phường Giảng Võ,Quận Ba Đình
"Căn hộ 3 ngủ tại Nguyễn Chí Thanh- Chung cư Vườn Xuân giá chỉ 15 triệu, căn trống vào luôn", 120 m,3 phòng ngủ, 15 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"Cho thuê gấp chung cư MIPEC Ngã Tư Sở, rộng 86m2, 2 phòng ngủ, chỉ 14 triệu/th", 86 m,2 phòng ngủ, 14 triệu / tháng,Phố Tây Sơn,Phường Ngã Tư Sở,Quận Đống Đa
"Cho thuê M3-M4 Nguyễn Chí Thanh 3 phòng ngủ đã đủ đồ chỉ 15 triệu, căn trống vào luôn", 135 m,3 phòng ngủ, 15 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"Căn hộ M3-M4 Nguyễn Chí Thanh cho thuê gấp, căn 2 ngủ đã đủ đồ giá chỉ 15 triệu vào luôn.", 115 m,3 phòng ngủ, 15 triệu / tháng,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa
"Cho thuê căn hộ Vinhomes Metropolis 1phòng ngủ, đủ đồ , 17tr/th . Lh 0965402811", 50 m,1 phòng ngủ, 17 triệu / tháng,Phố Liễu Giai,Phường Kim Mã,Quận Ba Đình
"Cho thuê căn hộ Vinhomes Metropolis , 3pn, đủ đồ , giá 32tr/th . Lh 0965402811", 120 m,3 phòng ngủ, 32 triệu / tháng,Phố Liễu Giai,Phường Kim Mã,Quận Ba Đình
"Cho thuê căn hộ Vinhomes Metropolis Liễu Giai, 2pn, full đồ view hồ , giá 22tr/th", 80 m,2 phòng ngủ, 22 triệu / tháng,Đường Kim Mã,Phường Kim Mã,Quận Ba Đình
"Cho thuê căn hộ Vinhomes Metropolis Liễu Giai, 2pn , đồ Cơ bản , 19tr/th . Lh 0965402811", 70 m,2 phòng ngủ, 19 triệu / tháng,Phố Liễu Giai,Phường Ngọc Khánh,Quận Ba Đình
"Căn hộ Park 10, tòa cao cấp Premium, 2 phòng ngủ, ban công hướng ĐN, đầy đủ nội thất (ảnh", 82 m,2 phòng ngủ," 13,5 triệu / tháng",Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Tôi cần cho thuê gấp căn hộ 1 phòng ngủ đầy đủ nội thất giá 11tr, khách chỉ mang quần áo ở", 56 m,1 phòng ngủ, 11 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
Hiện gia đình đang trống căn 2 và 3 ngủ  căn hộ Đầy đủ đồ khách thuê chỉ việc xách vali đế, 110 m,3 phòng ngủ, 15 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Cho thuê căn hộ 2 phòng ngủ Times City, FULL ĐỒ  Giá 12tr/th, cuối tháng 6 vào, xem nhà tr", 83 m,2 phòng ngủ, 12 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
chính chủ cần cho thuê căn hộ 2 ngủ và 3 ngủ không đồ tại KĐT Times CIty- Park Hill, 826 m,2 phòng ngủ, 12 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Cho thuê căn hộ  chung cư Times city 2 ngủ đầy đủ đồ giá rẻ nhất, Được Miễn phí Dịch Vụ", 80 m,2 phòng ngủ, 12 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
Cho thuê căn hộ 3 phòng ngủ rộng tòa Park 8 vào ở ngay - LH: 0982.591.304, 120 m,3 phòng ngủ, 20 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"GẤP GẤP GẤP: Căn hộ 2 và 3 ngủ k đồ tòa Park 9,park 12, xem nhà: 0982591304", 118 m,2 phòng ngủ, 12 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Chính chủ cho thuê CH 03 phòng ngủ Times city, Đồ đẹp như hình, giá 20tr/th 0982591304", 117 m,3 phòng ngủ, 20 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Căn hộ cao cấp Park 12, 115m2, 3 phòng ngủ, đầy đủ nội thất giá cực rẻ.", 115 m,3 phòng ngủ, 20 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Căn hộ 2 phòng ngủ, 2 WC tòa Park 7 - Times City, giá rẻ cho thuê gấp (0982.591.304)", 80 m,2 phòng ngủ, 16 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Căn 3 phòng ngủ sáng giá hợp lý nhất Park Hill, S=106m2, tầng trung, logia hướng Nam, 0982", 106 m,3 phòng ngủ, 16 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"Cho thuê căn 02PN, Giá cực rẻ, liên hệ: 0982.591.304 xem nhà", 76 m,2 phòng ngủ," 13,5 triệu / tháng",Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
"( Ảnh Thật Chính Chủ) cho thuê 2 phòng ngủ full đồ tòa park 12, giá 15tr/th liên hệ ngay 0", 80 m,2 phòng ngủ, 15 triệu / tháng,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng
